,Annual Sales,Key Personnel,No of Employees,Primary Company Type,Quality Certifications,Registrations,Year Founded,companyName,website,Additional Activities,{'Website,"Primary Company Type': ""Manufacturers' Rep"", 'Key Personnel","Primary Company Type': ""Manufacturers' Rep"", 'Additional Activities","Additional Activities': ""Manufacturer, Custom Manufacturer, Manufacturers' Rep"", 'Key Personnel","Key Personnel': ""John Czulno, President</li><li>Brandon Deardorff, Sales Mgr.</li><li>Russ Blais, Mgr.</li><li>Mike O'Rourke, Sales</li><li>Michael Griffin, Sales Manager"", 'Quality Certifications","Additional Activities': ""Custom Manufacturer, Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Custom Manufacturer, Manufacturers' Rep"", 'Key Personnel","Additional Activities': ""Distributor, Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Manufacturer, Manufacturers' Rep, Service Company, Finishing Service Company"", 'Key Personnel","Additional Activities': ""Manufacturers' Rep"", 'Key Personnel","Key Personnel': ""Jim Nicholson, Sales Mgr. Midwest Region</li><li>Dennis O'Brien, Sales Mgr. SE Region"", 'Quality Certifications","Additional Activities': ""Distributor, Custom Manufacturer, Manufacturers' Rep, Finishing Service Company"", 'Key Personnel"
1017,$1 - 4.9 Mil,Larry Salvador,1-9,Distributor,Not Available,Not Available,2001'},"Greenland Supply, Inc.",http://www.greenlandsupply.net,,,,,,,,,,,,,,
1018,$50 - 99.9 Mil,Not Available,50-99,,Not Available,Not Available,1945'},Storr Tractor Co.,http://www.storrtractor.com/,,,,,,,,,,,,,,
1019,$5 - 9.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1921'},"Kerns, J. W. Irrigation Co.",https://www.jwkernsinc.com/,,,,,,,,,,,,,,
1020,Not Available,Not Available,Not Available,Distributor,Not Available,Not Available,2003'},USA AG Supplies Inc.,http://www.usaagsupplies.com,,,,,,,,,,,,,,
1021,$50 - 99.9 Mil,Not Available,200-499,Distributor,Not Available,Not Available,1979'},"Zim Industries, Inc.",https://zimindustries.com/,Service Company,,,,,,,,,,,,,
1022,$10 - 24.9 Mil,"Maggie Zhou, Sales Mgr.</li><li>Dennis Noble, Engineering Mgr.",100-199,Manufacturer,"<table><tbody><tr><td><a href=""/certifications/download.html?heading=2675&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10066187&amp;certid=340511"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=2675&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10066187&amp;certid=340511"" target=""_blank"">ISO 9001:2008</a></td></tr>\n</tbody></table>",Not Available,1994'},ANC Technology,http://www.anctech.com,Custom Manufacturer,,,,,,,,,,,,,
1023,Under $1 Mil,Not Available,1-9,Distributor,Not Available,Not Available,1991'},"Landmark Irrigation, Inc.",http://www.landmarkirrigation.com,,,,,,,,,,,,,,
1024,Not Available,Not Available,1-9,Distributor,Not Available,Not Available,1965'},Keeling Co.,http://keelingcompany.com/,,,,,,,,,,,,,,
1025,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,1934'},Lake Company,https://www.lakecompany.com/,,,,,,,,,,,,,,
1026,$5 - 9.9 Mil,Not Available,10-49,Service Company,Not Available,Not Available,1985'},"Hidden Valley Pump Systems, Inc",http://www.hiddenvalleypump.com,,,,,,,,,,,,,,
1027,$5 - 9.9 Mil,Not Available,10-49,,Not Available,Not Available,1965'},Munro,https://www.munropump.com/Home,,,,,,,,,,,,,,
1028,$1 - 4.9 Mil,Not Available,10-49,Service Company,Not Available,Not Available,1966'},Gentle Rain,http://www.gentlerain.com,,,,,,,,,,,,,,
1029,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,2008'},Calsense,http://www.calsense.com,,,,,,,,,,,,,,
1030,$50 - 99.9 Mil,Not Available,100-199,Distributor,Not Available,Not Available,1965'},Keeling Company,http://keelingcompany.net/,Service Company,,,,,,,,,,,,,
1031,Under $1 Mil,Not Available,1-9,Service Company,Not Available,Not Available,1985'},Accurain Irrigation Systems,http://accurainirrigation.com/,,,,,,,,,,,,,,
1032,$10 - 24.9 Mil,Not Available,50-99,,Not Available,Not Available,Not Available'},Lad Irrigation Company,http://www.ladirrigation.net/,,,,,,,,,,,,,,
1033,Under $1 Mil,Not Available,1-9,Distributor,Not Available,Not Available,1982'},"Ramona Irrigation & Electrical Supply, Inc.",http://www.ramonairrigation.com/index.html,,,,,,,,,,,,,,
1034,Under $1 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,1973'},"Stein Manufacturing, Inc.",http://www.steinmanufacturing.com,"Custom Manufacturer, Service Company",,,,,,,,,,,,,
1035,Not Available,Not Available,Not Available,Service Company,Not Available,Not Available,Not Available'},G & M Landscaping & Hydroseeding Corporation,http://www.gmlandscaping.com,,,,,,,,,,,,,,
1036,$50 - 99.9 Mil,Not Available,100-199,Manufacturer,Not Available,Not Available,1987'},Wil-Rich LLC,http://www.wil-rich.com,,,,,,,,,,,,,,
1037,$5 - 9.9 Mil,Not Available,50-99,Manufacturer,Not Available,Not Available,1990'},Valley Fabrication Corp.,http://www.valleyfabcorp.com/,,,,,,,,,,,,,,
1038,Under $1 Mil,Not Available,1-9,Distributor,Not Available,Not Available,Not Available'},Sprinkler World,Http://www.sprinkler.com,,,,,,,,,,,,,,
1039,$5 - 9.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1985'},Watermaster Irrigation Supply,http://www.watermasterirrigation.com,,,,,,,,,,,,,,
1040,Not Available,Not Available,10-49,,Not Available,Not Available,Not Available'},Aqua-Flo Supply,http://www.aquaflo.com,,,,,,,,,,,,,,
1041,Under $1 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,1984'},"Empire Irrigation, Inc.",https://www.empireirrigation.com/,Distributor,,,,,,,,,,,,,
1042,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,Not Available'},"Rite Flo Supply, Inc.",https://www.riteflosupply.com/index.html,,,,,,,,,,,,,,
1043,$5 - 9.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1981'},"Hydratec, Inc.",http://www.hydratec.com,Service Company,,,,,,,,,,,,,
1044,$50 - 99.9 Mil,Not Available,50-99,Manufacturer,Not Available,Not Available,1989'},Calwest Rain,https://calwestrain.com/,,,,,,,,,,,,,,
1045,$1 - 4.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1984'},Golden State Irrigation Services,https://goldenstateirr.com/,Service Company,,,,,,,,,,,,,
1046,Under $1 Mil,Not Available,50-99,Distributor,Not Available,Not Available,Not Available'},"Irrigation Specialists, Inc.",https://www.irrigationspecialists.com/,Service Company,,,,,,,,,,,,,
1047,$10 - 24.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1963'},"Cloud, R. V. Co.",http://www.rvcloud.com/?n=1&amp;id=1,,,,,,,,,,,,,,
1048,Under $1 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1960'},"Sedona West Co., Inc.",https://sedonawestco.com/,,,,,,,,,,,,,,
1049,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},"WaterBit, Inc.",https://www.waterbit.com/,,,,,,,,,,,,,,
1050,Not Available,Not Available,10-49,Manufacturer,Not Available,Not Available,Not Available'},Valley Irrigation,http://www.valleyirrigation.com/home,,,,,,,,,,,,,,
1051,$1 - 4.9 Mil,Not Available,1-9,Distributor,Not Available,Not Available,1985'},"ATS Irrigation, Inc.",http://www.atsirrigation.com,Service Company,,,,,,,,,,,,,
1052,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,1970'},"Premier Rubber, Inc.",https://www.premierrubber.com/,"Custom Manufacturer, Service Company",,,,,,,,,,,,,
1053,$1 - 4.9 Mil,,10-49,Manufacturer,Not Available,Not Available,1998'},"Sewickley Construction Products, Inc.",https://www.sewickleyconstructionproducts.com/,,,,,,,,,,,,,,Not Available
1054,$10 - 24.9 Mil,Not Available,10-49,,Not Available,Not Available,1969'},Aquarius Supply,https://www.aquariussupply.com/,,,,,,,,,,,,,,
1055,$1 - 4.9 Mil,Not Available,1-9,Distributor,Not Available,Not Available,1992'},Irrigation Technology & Control,http://www.irrigationtech.net,Service Company,,,,,,,,,,,,,
1056,$1 - 4.9 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,1965'},Spread-All Manufacturing Co.,http://www.spread-allmfg.net,,,,,,,,,,,,,,
1057,$1 - 4.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1946'},Opico,http://www.opico.com,,,,,,,,,,,,,,
1058,$10 - 24.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1983'},Coastal Pipco,http://www.coastalpipco.com,,,,,,,,,,,,,,
1059,$1 - 4.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1967'},9 Mile Rent All Inc.,https://www.9milerentall.com/,"Custom Manufacturer, Service Company",,,,,,,,,,,,,
1060,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},Smith Irrigation Equipment,http://waterreels.com,,,,,,,,,,,,,,
1061,Under $1 Mil,Not Available,1-9,Distributor,Not Available,Not Available,1962'},Wolfjohn Irrigation,http://www.wolfjohn.com,,,,,,,,,,,,,,
1062,$1 - 4.9 Mil,Not Available,1-9,Distributor,Not Available,Not Available,1986'},"Hoffman Irrigation, Inc.",http://www.hoffmanirrigation.com,,,,,,,,,,,,,,
1063,Not Available,Not Available,100-199,Manufacturer,Not Available,Not Available,Not Available'},RM Drip and Sprinklers,https://www.rmdrip.com/,,,,,,,,,,,,,,
1064,$1 - 4.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1927'},"Growers Service Co., Inc.",https://agservicesintl.com/,Service Company,,,,,,,,,,,,,
1065,$50 - 99.9 Mil,Not Available,200-499,,Not Available,Not Available,1966'},"Pantropic Power, Inc.",http://www.pantropic.com/power/,,,,,,,,,,,,,,
1066,Under $1 Mil,Not Available,10-49,Service Company,Not Available,Not Available,1977'},SCLM Co.,http://www.sclmcoinc.com,,,,,,,,,,,,,,
1067,$5 - 9.9 Mil,Not Available,10-49,Service Company,Not Available,Not Available,2005'},"Acme Systems, Inc.",http://www.acmesystems.net/,,,,,,,,,,,,,,
1068,$1 - 4.9 Mil,Not Available,10-49,Service Company,Not Available,Not Available,1977'},"Terrafirma, Inc.",https://terrafirmalandscape.net/,,,,,,,,,,,,,,
1069,Under $1 Mil,Not Available,1-9,Service Company,Not Available,Not Available,1995'},Fountainhead Irrigation Co.,Failed,,Not Available,,,,,,,,,,,,
1070,$1 - 4.9 Mil,Not Available,1-9,Distributor,Not Available,Not Available,1997'},Peters Irrigation,Failed,Manufacturer,Not Available,,,,,,,,,,,,
1071,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},Water Wells & More,Failed,"Distributor, Service Company",Not Available,,,,,,,,,,,,
1072,Not Available,Not Available,Not Available,Service Company,Not Available,Not Available,Not Available'},Hurst Irrigation Devices,Failed,,Not Available,,,,,,,,,,,,
1073,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,Not Available'},"Valley Pump & Equipment Co., Inc.",Failed,,Not Available,,,,,,,,,,,,
1074,Not Available,Not Available,10-49,Service Company,Not Available,Not Available,Not Available'},"Ship Shape Landscape, Inc.",Failed,,Not Available,,,,,,,,,,,,
1075,,,,,,,,Quality Pump & Irrigation Co.,Failed,,,,,,,,,,,,,,
1076,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},Wishek Steel,Failed,,Not Available,,,,,,,,,,,,
1077,Not Available,Not Available,1-9,Distributor,Not Available,Not Available,1985'},West Central Water Systems,Failed,Service Company,Not Available,,,,,,,,,,,,
1078,Not Available,Not Available,1-9,Distributor,Not Available,Not Available,1986'},Valleywide Irrigation Service,Failed,Service Company,Not Available,,,,,,,,,,,,
1079,Not Available,Not Available,10-49,Manufacturer,Not Available,Not Available,1968'},"Airrigation Engineering Co., Inc.",Failed,,Not Available,,,,,,,,,,,,
1080,Not Available,Not Available,1-9,Distributor,Not Available,Not Available,1981'},Inland Pipe & Supply Co.,Failed,,Not Available,,,,,,,,,,,,
1081,Not Available,Not Available,10-49,Manufacturer,Not Available,Not Available,1963'},"Black's Irrigation Systems, Inc.",Failed,"Distributor, Service Company",Not Available,,,,,,,,,,,,
1082,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,1953'},Kellys Irrigation & Supply Co.,Failed,,Not Available,,,,,,,,,,,,
1083,Under $1 Mil,Not Available,10-49,Service Company,Not Available,Not Available,1987'},"Aloha Systems, Inc.",Failed,Finishing Service Company,Not Available,,,,,,,,,,,,
1084,Not Available,Not Available,1-9,Distributor,Not Available,Not Available,Not Available'},"B & R Outdoor Supply, Inc.",Failed,Service Company,Not Available,,,,,,,,,,,,
1085,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,1979'},"North Florida Irrigation Equipment, Inc.",Failed,,Not Available,,,,,,,,,,,,
1086,Not Available,Not Available,Not Available,Distributor,Not Available,Not Available,Not Available'},Davey-Joans,Failed,,Not Available,,,,,,,,,,,,
1087,Not Available,Not Available,1-9,Custom Manufacturer,Not Available,Not Available,1963'},"Lou's Irrigation Welding, Inc.",Failed,Service Company,Not Available,,,,,,,,,,,,
1088,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,Not Available'},Rautbort Irrigation Equipment,Failed,,Not Available,,,,,,,,,,,,
1089,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,1976'},Irrigation Systems Co. of Western Colorado,Failed,"Service Company, Finishing Service Company",Not Available,,,,,,,,,,,,
1090,Not Available,Not Available,10-49,Manufacturer,Not Available,Not Available,Not Available'},"Wilkins, W. B. Manufacturing, Inc.",Failed,,Not Available,,,,,,,,,,,,
1091,$1 - 4.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1970'},"Dodson Engineered Products, Inc.",Failed,,Not Available,,,,,,,,,,,,
1092,$5 - 9.9 Mil,Not Available,10-49,Service Company,Not Available,Not Available,Not Available'},Knutson Irrigation Design,Failed,,Not Available,,,,,,,,,,,,
1093,Not Available,Not Available,1-9,Distributor,Not Available,Not Available,1986'},"Schreiber, John C. Irrigation",Failed,,Not Available,,,,,,,,,,,,
1094,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,Not Available'},Harward Irrigation Systems,Failed,,Not Available,,,,,,,,,,,,
1095,$1 - 4.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1960'},"Bonnett Irrigation, Inc.",Failed,Service Company,Not Available,,,,,,,,,,,,
1096,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,1915'},Nelson Concrete Pipe Corp.,Failed,"Distributor, Service Company",Not Available,,,,,,,,,,,,
1097,Not Available,Not Available,50-99,Distributor,Not Available,Not Available,Not Available'},"Bennett & Bennett Irrigation Systems, Inc.",Failed,Service Company,Not Available,,,,,,,,,,,,
1098,Not Available,Not Available,Not Available,Distributor,Not Available,Not Available,1973'},American Water Flo,Failed,,Not Available,,,,,,,,,,,,
1099,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,1986'},"Gonzales Irrigation Systems, Inc.",Failed,Service Company,Not Available,,,,,,,,,,,,
1100,$1 - 4.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,Not Available'},Wright Irrigation Supply,Failed,,Not Available,,,,,,,,,,,,
1101,Under $1 Mil,Not Available,1-9,Service Company,Not Available,Not Available,1964'},Jarvis Welding & Mechanic Service,Failed,"Distributor, Manufacturer, Custom Manufacturer",Not Available,,,,,,,,,,,,
1102,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,Not Available'},Cantwell Irrigation Pipe Co.,Failed,,Not Available,,,,,,,,,,,,
1103,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},House MFG,Failed,,Not Available,,,,,,,,,,,,
1104,$10 - 24.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1970'},"Law, W. P. Inc.",Failed,"Service Company, Finishing Service Company",Not Available,,,,,,,,,,,,
1105,Not Available,"H. Peters, Sales Mgr.</li><li>J. Doell, Engineering Mgr.",10-49,Manufacturer,Not Available,Not Available,1951'},Midwest Irrigation Co.,Failed,,Not Available,,,,,,,,,,,,
1106,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,Not Available'},Kennett Irrigation & Equipment,Failed,Service Company,Not Available,,,,,,,,,,,,
1107,Not Available,Not Available,1-9,Manufacturer,Not Available,Not Available,1979'},Intertech Corp.,Failed,,Not Available,,,,,,,,,,,,
1108,Under $1 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,1973'},"Henderson Metal Products, Inc.",Failed,,Not Available,,,,,,,,,,,,
1109,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,Not Available'},"Florida Irrigation Supply, Inc.",Failed,,Not Available,,,,,,,,,,,,
1110,$1 - 4.9 Mil,Not Available,10-49,Custom Manufacturer,Not Available,Not Available,1977'},"Addison Manufacturing, Inc.",Failed,"Distributor, Manufacturer, Service Company",Not Available,,,,,,,,,,,,
1111,Not Available,,10-49,,,Not Available,1928'},"Layden, J. A. Co.",Failed,,,,,,,,,,,,,,
1112,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1966'},"Ag Equipment, Inc.",Failed,"Distributor, Custom Manufacturer",Not Available,,,,,,,,,,,,
1113,Not Available,Not Available,10-49,Manufacturer,Not Available,Not Available,1989'},"Netafim Irrigation, Inc.",Failed,Distributor,Not Available,,,,,,,,,,,,
1114,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,1968'},Ashley Pump & Irrigation,Failed,Service Company,Not Available,,,,,,,,,,,,
1115,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1985'},Agrifim,Failed,,Not Available,,,,,,,,,,,,
1116,Not Available,Not Available,Not Available,Distributor,Not Available,Not Available,Not Available'},Turf Professionals Equipment Co.,Failed,,Not Available,,,,,,,,,,,,
1117,Not Available,Not Available,1-9,Manufacturer,Not Available,Not Available,1985'},"B & R Equipment, Inc.",Failed,,Not Available,,,,,,,,,,,,
1118,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,Not Available'},"Coast Pump & Supply Co., Inc.",Failed,,Not Available,,,,,,,,,,,,
1119,Under $1 Mil,Not Available,10-49,Distributor,Not Available,Not Available,Not Available'},Vaughn Irrigation Services,Failed,,Not Available,,,,,,,,,,,,
1120,$1 - 4.9 Mil,Not Available,1-9,Distributor,Not Available,Not Available,Not Available'},Bakersfield Irrigation Co.,Failed,,Not Available,,,,,,,,,,,,
1121,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,1960'},Mullins Auto Parts & Machine,Failed,"Service Company, Finishing Service Company",Not Available,,,,,,,,,,,,
1122,Not Available,Not Available,1-9,Manufacturer,Not Available,Not Available,1991'},Caplock Manufacturing,Failed,,Not Available,,,,,,,,,,,,
1123,Not Available,Not Available,Not Available,,Not Available,Not Available,1970'},Frasier Irrigation,Failed,,Not Available,,Service Company,,,,,,,,,,
1124,Under $1 Mil,Not Available,10-49,Service Company,Not Available,Not Available,1979'},"DFW Sprinkler Systems, Inc.",Failed,,Not Available,,,,,,,,,,,,
1125,Under $1 Mil,,1-9,Manufacturer,Not Available,Not Available,Not Available'},West Howell Company,Failed,,Not Available,,,,,,,,,,Not Available,,
1126,$1 - 4.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1954'},AG Supply,Failed,,Not Available,,,,,,,,,,,,
1127,Not Available,Not Available,Not Available,Distributor,Not Available,Not Available,1945'},"Ewing Irrigation & Industrial Plastics, Inc.",Failed,,Not Available,,,,,,,,,,,,
1128,Not Available,Not Available,1-9,Distributor,Not Available,Not Available,Not Available'},Burton Irrigation,Failed,,Not Available,,,,,,,,,,,,
1129,Under $1 Mil,Not Available,10-49,Distributor,Not Available,Not Available,Not Available'},Contemporary Control,Failed,,Not Available,,,,,,,,,,,,
1130,$1 - 4.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1977'},Kooy's Irrigation,Failed,,Not Available,,,,,,,,,,,,
1131,Not Available,Not Available,10-49,Manufacturer,Not Available,Not Available,1946'},"Big T Irrigation Service Co., Inc.",Failed,,Not Available,,,,,,,,,,,,
1132,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,1966'},Automatic Rain Co.,Failed,,Not Available,,,,,,,,,,,,
1133,Not Available,Not Available,1-9,Manufacturer,Not Available,Not Available,1960'},Lane Manufacturing Co.,Failed,"Custom Manufacturer, Service Company",Not Available,,,,,,,,,,,,
1134,Not Available,Not Available,1-9,Distributor,Not Available,Not Available,1971'},Tri-City Manufacturing Co.,Failed,,Not Available,,,,,,,,,,,,
1135,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,Not Available'},Fruit Growers Supply Co.,Failed,,Not Available,,,,,,,,,,,,
1136,$5 - 9.9 Mil,"Mike McCauley, V.P.",10-49,,Not Available,Not Available,1975'},"Clendenning, J. R. Co.",Failed,,Not Available,,"Distributor, Manufacturer, Custom Manufacturer, Service Company",,,,,,,,,,
1137,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,1974'},Big Valley Irrigation,Failed,Service Company,Not Available,,,,,,,,,,,,
1138,Under $1 Mil,Not Available,1-9,,Not Available,Not Available,Not Available'},TolPlast Co.,/branches.html?what=irrigation&amp;heading=2675&amp;cov=NA&amp;cid=1224246&amp;bloc=NA&amp;WTZO=copro+biz+det,,,,,,,,,,,,,,
1139,Not Available,Not Available,50-99,Distributor,Not Available,Not Available,1964'},Turf Irrigation & Waterworks Supply,Failed,,Not Available,,,,,,,,,,,,
1140,Under $1 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,1911'},"Nelson, L. R. Corp.",Failed,,Not Available,,,,,,,,,,,,
1141,Not Available,Not Available,10-49,Manufacturer,Not Available,Not Available,1964'},Wemhoff Manufacturing Co.,Failed,,Not Available,,,,,,,,,,,,
1142,Not Available,Not Available,Not Available,Service Company,Not Available,Not Available,Not Available'},"Landscape Consultants, Inc.",Failed,,Not Available,,,,,,,,,,,,
1143,Not Available,Not Available,10-49,Service Company,Not Available,Not Available,Not Available'},"Robal, Inc.",Failed,,Not Available,,,,,,,,,,,,
1144,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},Kuntz Equipment,Failed,,Not Available,,,,,,,,,,,,
1145,Not Available,,1-9,,Not Available,Not Available,Not Available'},"Schneider, El & Associates, Inc.",Failed,,Not Available,Not Available,,,,,,,,,,,
1146,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,Not Available'},"Florida Irrigation Supply, Inc.",Failed,,Not Available,,,,,,,,,,,,
1147,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,1984'},"Gulf Coast Pump & Equipment, Inc.",Failed,,Not Available,,,,,,,,,,,,
1148,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,Not Available'},"Tresca Industries, Inc.",Failed,,Not Available,,,,,,,,,,,,
1149,Not Available,Not Available,1-9,Manufacturer,Not Available,Not Available,Not Available'},Mechanical & Machine Services,Failed,,Not Available,,,,,,,,,,,,
1150,$10 - 24.9 Mil,Not Available,200-499,Distributor,Not Available,Not Available,1946'},"Thomas Supply Co., Inc.",Failed,,Not Available,,,,,,,,,,,,
1151,Not Available,Not Available,10-49,Manufacturer,Not Available,Not Available,1971'},Quality Tool & Engineering Corporation,Failed,"Service Company, Finishing Service Company",Not Available,,,,,,,,,,,,
1152,Not Available,Not Available,10-49,Manufacturer,Not Available,Not Available,1970'},"Bowman Irrigation, Inc.",Failed,Distributor,Not Available,,,,,,,,,,,,
1153,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,Not Available'},"GOEN Irrigation, Inc.",Failed,Service Company,Not Available,,,,,,,,,,,,
1154,Not Available,Not Available,1-9,Distributor,Not Available,Not Available,1988'},"North Florida Irrigation Equipment, Inc.",Failed,,Not Available,,,,,,,,,,,,
1155,Under $1 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1974'},Fis Outdoor,Failed,,Not Available,,,,,,,,,,,,
1156,$1 - 4.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1976'},"Chaneybush Irrigation, Inc.",Failed,,Not Available,,,,,,,,,,,,
1157,Not Available,Not Available,10-49,Service Company,Not Available,Not Available,Not Available'},"Willamette Valley Pump Co., Inc.",Failed,,Not Available,,,,,,,,,,,,
1158,Under $1 Mil,Not Available,10-49,Service Company,Not Available,Not Available,1971'},Sunnyland Irrigation,Failed,,Not Available,,,,,,,,,,,,
1159,Under $1 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,1960'},"Parker, Frank Manufacturing Co.",Failed,Custom Manufacturer,Not Available,,,,,,,,,,,,
1160,Under $1 Mil,Not Available,50-99,Manufacturer,Not Available,Not Available,1979'},Wade Manufacturing Co.,Failed,,Not Available,,,,,,,,,,,,
1161,Not Available,Not Available,Not Available,Distributor,Not Available,Not Available,1996'},Sunrise Irrigation,Failed,,Not Available,,,,,,,,,,,,
1162,Not Available,Not Available,10-49,Distributor,Not Available,Not Available,1974'},"Florida Irrigation Supply, Inc.",Failed,,Not Available,,,,,,,,,,,,
1163,Not Available,Not Available,1-9,Custom Manufacturer,Not Available,Not Available,1971'},"JM Manufacturing Co., Inc.",Failed,Service Company,Not Available,,,,,,,,,,,,
1164,$10 - 24.9 Mil,Not Available,200-499,Distributor,Not Available,Not Available,1946'},"Thomas Supply Co., Inc.",Failed,,Not Available,,,,,,,,,,,,
1165,$10 - 24.9 Mil,,50-99,,Not Available,Not Available,Not Available'},W.P. Law Inc.,http://www.wplawinc.com,,,,,,,,,,,,,,
1166,$10 - 24.9 Mil,,50-99,,Not Available,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>RoHS Compliant</td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>MIL-SPEC 45208A</td></tr>\n</tbody></table>",1865'},Hays Fluid Controls,http://www.haysfluidcontrols.com/index.html,,,,,,,,,,,,,,
1167,Not Available,,Not Available,,Not Available,Not Available,1960'},Rapid Pump & Meter/ Machinery Services Corp.,https://www.rapidservice.com,,,,,,,,,,,,,,
1168,$250 Mil. and over,,1000+,,Not Available,Not Available,1987'},DXP Cortech,https://cortecheng.com/,,,,,,,,,,,,,,
